;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
938;(640, 100);(685, 146);(662, 146);(684, 236);(639, 258);(707, 145);(707, 236);(707, 326);(685, 303);(729, 461);(752, 595);(707, 303);(639, 439);(617, 595);(639, 78);(640, 78);(662, 79);(684, 78);(258, 0)
939;(640, 101);(685, 146);(662, 146);(684, 258);(639, 259);(707, 146);(707, 236);(729, 326);(707, 304);(729, 461);(774, 595);(707, 325);(639, 439);(594, 574);(640, 78);(662, 78);(662, 100);(685, 78);(146, 0)
940;(640, 101);(684, 146);(662, 146);(662, 258);(617, 280);(707, 146);(729, 236);(752, 326);(685, 304);(751, 461);(796, 574);(707, 304);(639, 460);(572, 574);(640, 79);(662, 78);(662, 101);(685, 79);(168, 0)
941;(640, 101);(684, 146);(662, 146);(662, 258);(618, 280);(707, 146);(729, 258);(752, 326);(685, 325);(752, 461);(819, 574);(707, 326);(639, 460);(594, 573);(640, 79);(662, 79);(662, 101);(685, 100);(124, 0)
942;(640, 101);(684, 146);(662, 146);(662, 258);(617, 281);(707, 146);(729, 258);(774, 326);(685, 326);(751, 483);(819, 573);(707, 326);(639, 460);(594, 596);(640, 79);(662, 79);(662, 101);(685, 100);(124, 0)
943;(640, 101);(684, 146);(662, 146);(662, 258);(617, 281);(707, 146);(729, 258);(774, 326);(707, 326);(729, 483);(819, 573);(706, 326);(617, 461);(595, 596);(640, 79);(662, 79);(662, 101);(685, 100);(236, 0)
944;(640, 101);(684, 146);(662, 146);(662, 259);(617, 281);(706, 146);(729, 258);(752, 326);(706, 326);(707, 483);(819, 551);(685, 326);(639, 460);(617, 596);(640, 78);(662, 78);(662, 101);(685, 100);(236, 0)
945;(640, 101);(684, 146);(662, 146);(662, 258);(639, 259);(706, 146);(729, 258);(752, 326);(685, 325);(685, 461);(797, 551);(685, 326);(639, 461);(640, 596);(640, 78);(662, 78);(662, 100);(685, 79);(236, 0)
946;(640, 100);(684, 146);(662, 146);(662, 258);(639, 259);(707, 146);(729, 236);(730, 326);(685, 304);(662, 461);(775, 529);(706, 304);(662, 461);(662, 596);(640, 78);(662, 78);(684, 101);(685, 78);(236, 0)
947;(640, 79);(685, 146);(684, 146);(684, 236);(639, 258);(707, 146);(707, 236);(729, 326);(684, 303);(662, 461);(774, 550);(707, 304);(662, 461);(684, 596);(640, 78);(662, 78);(662, 78);(685, 78);(236, 0)
948;(640, 78);(685, 146);(684, 145);(684, 236);(639, 258);(707, 145);(707, 236);(707, 326);(684, 304);(662, 461);(730, 551);(707, 325);(684, 461);(707, 596);(640, 78);(662, 78);(684, 101);(685, 78);(236, 0)
949;(640, 78);(685, 145);(684, 124);(684, 214);(639, 258);(707, 124);(707, 236);(684, 326);(684, 303);(640, 438);(684, 573);(707, 304);(707, 460);(729, 596);(639, 78);(662, 56);(684, 78);(685, 78);(258, 0)
950;(640, 78);(685, 124);(684, 124);(662, 236);(617, 258);(707, 124);(707, 236);(662, 326);(684, 303);(639, 438);(684, 573);(707, 303);(707, 461);(730, 596);(640, 78);(662, 56);(684, 78);(685, 78);(168, 0)
951;(662, 78);(685, 124);(684, 124);(662, 214);(639, 236);(707, 124);(685, 236);(662, 303);(684, 303);(640, 438);(640, 573);(707, 303);(729, 439);(752, 596);(640, 78);(662, 78);(684, 78);(706, 78);(101, 0)
