;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
1015;(392, 146);(437, 169);(460, 169);(527, 258);(527, 303);(415, 169);(347, 235);(302, 169);(460, 348);(460, 483);(460, 618);(437, 348);(392, 461);(415, 596);(392, 124);(392, 124);(437, 123);(393, 123);(0, 0)
1016;(370, 145);(437, 169);(460, 169);(505, 258);(527, 281);(393, 169);(325, 236);(280, 169);(460, 348);(370, 461);(460, 618);(415, 348);(459, 483);(370, 619);(392, 146);(370, 123);(415, 123);(392, 123);(0, 0)
1017;(370, 146);(415, 169);(460, 169);(505, 258);(505, 303);(393, 169);(325, 236);(280, 190);(460, 326);(370, 461);(460, 618);(415, 348);(438, 483);(460, 618);(370, 124);(370, 124);(415, 123);(392, 123);(0, 0)
1018;(370, 146);(415, 169);(438, 168);(505, 258);(460, 281);(392, 168);(303, 236);(258, 190);(437, 326);(370, 461);(460, 618);(415, 348);(437, 483);(347, 596);(370, 124);(370, 123);(415, 123);(370, 123);(0, 0)
1019;(370, 146);(415, 168);(438, 168);(482, 236);(504, 280);(370, 168);(303, 236);(258, 191);(437, 326);(370, 461);(348, 596);(415, 348);(437, 483);(460, 596);(370, 124);(370, 123);(393, 123);(370, 123);(0, 0)
1020;(348, 145);(393, 168);(437, 169);(483, 258);(483, 281);(370, 168);(302, 236);(258, 191);(415, 348);(370, 483);(348, 596);(393, 348);(415, 483);(460, 618);(348, 123);(348, 123);(393, 123);(370, 123);(0, 0)
1021;(348, 124);(393, 168);(415, 169);(482, 258);(482, 303);(370, 168);(281, 236);(257, 191);(415, 326);(370, 483);(348, 596);(392, 348);(393, 483);(438, 596);(348, 123);(348, 123);(393, 123);(370, 123);(0, 0)
1022;(347, 145);(392, 168);(415, 168);(460, 235);(482, 258);(348, 168);(280, 236);(257, 191);(415, 326);(348, 461);(348, 618);(392, 348);(393, 483);(437, 618);(347, 123);(347, 123);(392, 123);(348, 123);(0, 0)
1023;(325, 124);(370, 169);(415, 169);(482, 258);(482, 281);(347, 168);(280, 236);(258, 191);(415, 326);(348, 483);(347, 596);(370, 348);(393, 483);(437, 618);(347, 123);(347, 123);(392, 123);(348, 123);(0, 0)
1024;(347, 146);(370, 169);(415, 169);(482, 236);(482, 280);(325, 168);(280, 236);(258, 191);(393, 348);(347, 483);(326, 596);(370, 348);(393, 483);(437, 618);(347, 146);(326, 123);(392, 123);(347, 123);(0, 0)
1025;(325, 146);(370, 169);(415, 169);(460, 236);(482, 258);(325, 168);(280, 236);(258, 213);(392, 348);(347, 483);(325, 596);(370, 348);(393, 483);(437, 596);(325, 146);(325, 123);(392, 123);(347, 124);(0, 0)
1026;(325, 146);(370, 169);(415, 190);(482, 258);(460, 191);(303, 168);(258, 258);(258, 236);(392, 326);(347, 461);(325, 596);(348, 348);(393, 483);(437, 596);(325, 146);(325, 123);(392, 124);(347, 123);(0, 0)
1027;(325, 146);(348, 190);(393, 190);(460, 258);(460, 191);(303, 169);(258, 258);(258, 258);(370, 326);(347, 461);(303, 618);(325, 326);(392, 483);(437, 618);(325, 146);(325, 124);(392, 145);(325, 124);(0, 0)
1028;(325, 146);(348, 190);(393, 191);(460, 258);(460, 213);(302, 168);(258, 258);(258, 258);(370, 326);(325, 483);(415, 618);(325, 326);(370, 483);(325, 618);(348, 146);(325, 145);(370, 145);(325, 124);(0, 0)
1029;(303, 146);(347, 190);(392, 191);(460, 258);(460, 213);(280, 169);(258, 258);(257, 258);(370, 326);(326, 484);(303, 618);(303, 326);(370, 483);(415, 618);(348, 146);(325, 124);(370, 146);(325, 124);(0, 0)
1030;(438, 281);(326, 191);(392, 191);(459, 258);(460, 213);(280, 169);(257, 258);(438, 191);(370, 326);(347, 483);(392, 596);(303, 326);(325, 483);(303, 618);(370, 146);(392, 686);(370, 146);(325, 124);(0, 0)
1031;(370, 146);(325, 190);(370, 191);(438, 258);(460, 213);(280, 169);(257, 258);(460, 213);(348, 326);(347, 461);(370, 595);(303, 326);(325, 461);(325, 596);(370, 146);(325, 124);(370, 146);(325, 123);(0, 0)
1032;(370, 146);(325, 191);(370, 191);(437, 258);(460, 213);(280, 169);(257, 258);(438, 213);(348, 326);(303, 461);(325, 595);(302, 326);(325, 461);(325, 596);(370, 146);(370, 146);(347, 146);(303, 145);(0, 0)
1033;(370, 146);(325, 191);(370, 191);(437, 258);(460, 213);(280, 169);(236, 258);(438, 213);(347, 326);(325, 483);(302, 618);(280, 325);(280, 461);(303, 618);(370, 146);(370, 146);(348, 146);(303, 145);(0, 0)
1034;(370, 146);(325, 190);(370, 191);(437, 258);(460, 213);(258, 169);(236, 258);(437, 213);(347, 326);(280, 483);(236, 596);(280, 326);(325, 484);(303, 618);(370, 146);(370, 146);(348, 146);(303, 124);(0, 0)
1035;(370, 146);(325, 190);(370, 191);(437, 258);(460, 213);(258, 169);(235, 258);(437, 213);(326, 326);(325, 483);(303, 619);(280, 325);(258, 483);(213, 618);(348, 146);(348, 123);(348, 146);(303, 145);(0, 0)
1036;(348, 168);(303, 190);(258, 169);(235, 258);(438, 213);(348, 191);(415, 258);(460, 213);(280, 326);(258, 483);(191, 618);(325, 326);(325, 483);(302, 618);(348, 146);(348, 146);(325, 145);(303, 146);(0, 0)
1037;(348, 146);(303, 190);(348, 191);(437, 236);(460, 213);(258, 168);(235, 258);(460, 213);(325, 326);(258, 483);(191, 596);(258, 326);(303, 484);(281, 618);(348, 146);(348, 145);(325, 146);(303, 146);(0, 0)
1038;(348, 146);(303, 190);(348, 191);(415, 236);(459, 213);(258, 168);(235, 258);(459, 213);(325, 326);(236, 483);(191, 596);(258, 325);(303, 483);(280, 618);(347, 146);(348, 146);(325, 145);(303, 145);(0, 0)
1039;(348, 146);(303, 169);(348, 191);(415, 236);(460, 213);(258, 168);(235, 258);(437, 213);(303, 326);(302, 483);(280, 618);(257, 325);(235, 461);(190, 596);(347, 146);(348, 145);(325, 145);(302, 124);(0, 0)
1040;(348, 146);(302, 169);(347, 191);(415, 236);(460, 213);(257, 168);(235, 258);(438, 213);(303, 326);(280, 483);(190, 596);(257, 325);(235, 461);(258, 596);(347, 146);(348, 145);(325, 145);(302, 124);(0, 0)
1041;(348, 146);(302, 190);(347, 191);(415, 236);(460, 213);(257, 168);(213, 258);(258, 258);(302, 326);(280, 483);(235, 596);(236, 326);(235, 461);(191, 596);(347, 145);(347, 146);(325, 145);(302, 124);(0, 0)
1042;(348, 146);(302, 190);(347, 191);(415, 236);(460, 213);(257, 168);(213, 258);(258, 258);(302, 326);(258, 483);(191, 596);(236, 325);(213, 461);(191, 596);(347, 145);(347, 146);(325, 145);(302, 124);(0, 0)
1043;(348, 146);(302, 190);(347, 191);(415, 236);(460, 213);(257, 168);(213, 258);(258, 258);(281, 326);(258, 483);(190, 596);(235, 325);(213, 461);(190, 596);(347, 145);(347, 146);(325, 145);(302, 123);(0, 0)
1044;(347, 146);(302, 190);(347, 191);(415, 236);(460, 213);(236, 168);(213, 258);(258, 258);(281, 326);(258, 483);(190, 596);(235, 325);(213, 461);(190, 595);(347, 146);(347, 146);(325, 145);(281, 123);(0, 0)
1045;(347, 146);(302, 190);(347, 191);(415, 236);(460, 213);(236, 168);(213, 258);(258, 258);(281, 326);(258, 483);(190, 596);(235, 326);(213, 461);(190, 595);(347, 145);(347, 146);(325, 145);(281, 123);(0, 0)
1046;(347, 146);(302, 190);(347, 191);(415, 236);(460, 213);(236, 168);(213, 236);(258, 258);(302, 326);(280, 461);(190, 596);(235, 326);(213, 461);(191, 596);(347, 145);(347, 146);(325, 145);(280, 123);(0, 0)
1047;(348, 146);(302, 169);(347, 191);(415, 236);(460, 213);(257, 168);(213, 236);(258, 236);(302, 326);(280, 483);(190, 596);(236, 326);(213, 461);(190, 618);(347, 145);(348, 146);(325, 145);(280, 123);(0, 0)
1048;(348, 146);(302, 169);(348, 190);(415, 236);(460, 213);(257, 168);(213, 236);(258, 236);(303, 326);(302, 483);(258, 618);(257, 326);(213, 461);(190, 618);(347, 145);(348, 146);(325, 145);(280, 123);(0, 0)
1049;(348, 146);(303, 169);(348, 190);(415, 236);(460, 213);(258, 168);(212, 236);(258, 236);(303, 326);(302, 483);(280, 619);(258, 325);(235, 461);(190, 596);(347, 145);(348, 146);(325, 145);(281, 123);(0, 0)
1050;(348, 146);(303, 169);(348, 190);(437, 236);(460, 213);(258, 168);(191, 236);(258, 236);(325, 326);(303, 483);(280, 641);(258, 325);(235, 461);(190, 596);(347, 145);(347, 146);(325, 145);(302, 124);(0, 0)
1051;(347, 146);(303, 169);(258, 168);(191, 236);(236, 235);(348, 190);(437, 236);(460, 213);(280, 325);(257, 461);(212, 596);(325, 326);(303, 483);(280, 641);(325, 146);(348, 146);(303, 145);(302, 123);(0, 0)
1052;(348, 146);(325, 169);(370, 190);(437, 236);(460, 213);(258, 169);(191, 236);(438, 191);(325, 326);(325, 483);(281, 640);(280, 325);(258, 461);(213, 596);(348, 146);(348, 146);(347, 145);(302, 124);(0, 0)
1053;(370, 146);(325, 169);(370, 190);(438, 236);(460, 213);(258, 169);(190, 236);(190, 236);(347, 326);(325, 483);(280, 641);(280, 325);(258, 461);(235, 618);(348, 146);(348, 146);(348, 145);(303, 124);(0, 0)
1054;(370, 146);(325, 190);(370, 190);(438, 236);(460, 213);(258, 169);(191, 236);(460, 213);(347, 326);(325, 483);(302, 640);(280, 326);(280, 461);(280, 640);(348, 146);(370, 123);(348, 146);(303, 124);(0, 0)
1055;(370, 146);(325, 169);(370, 169);(438, 236);(460, 213);(280, 169);(191, 236);(191, 191);(348, 326);(325, 483);(302, 619);(280, 325);(280, 461);(303, 528);(370, 145);(370, 146);(348, 145);(303, 124);(0, 0)
1056;(303, 146);(325, 190);(392, 190);(459, 236);(460, 213);(280, 169);(191, 236);(191, 191);(348, 326);(325, 483);(302, 619);(302, 326);(303, 461);(348, 596);(370, 124);(303, 146);(370, 145);(325, 124);(0, 0)
1057;(303, 146);(347, 169);(392, 169);(460, 236);(460, 213);(280, 169);(213, 236);(190, 191);(370, 326);(325, 483);(303, 619);(303, 326);(325, 483);(370, 574);(370, 146);(303, 145);(370, 145);(325, 124);(0, 0)
1058;(303, 146);(347, 190);(393, 190);(460, 236);(460, 213);(280, 190);(213, 236);(190, 213);(370, 326);(347, 461);(303, 640);(303, 326);(325, 461);(392, 596);(303, 146);(303, 145);(370, 146);(325, 124);(0, 0)
1059;(303, 146);(348, 190);(393, 190);(460, 236);(460, 213);(302, 169);(235, 236);(190, 213);(370, 326);(347, 483);(392, 618);(325, 326);(347, 483);(303, 641);(303, 146);(325, 146);(370, 146);(325, 145);(0, 0)
1060;(325, 146);(348, 191);(393, 190);(460, 258);(460, 213);(303, 191);(235, 236);(191, 213);(392, 326);(348, 483);(392, 618);(325, 326);(347, 483);(303, 640);(325, 146);(325, 145);(370, 146);(325, 145);(0, 0)
1061;(325, 146);(348, 191);(414, 191);(460, 258);(460, 213);(303, 190);(257, 236);(191, 213);(392, 326);(370, 483);(325, 640);(325, 326);(348, 483);(393, 618);(325, 146);(325, 146);(370, 145);(325, 145);(0, 0)
1062;(325, 146);(370, 191);(415, 191);(460, 258);(460, 213);(303, 191);(258, 236);(212, 213);(393, 326);(370, 483);(325, 641);(326, 326);(370, 483);(393, 596);(325, 146);(325, 145);(392, 146);(326, 145);(0, 0)
1063;(325, 146);(370, 191);(415, 191);(482, 258);(460, 213);(325, 191);(280, 236);(213, 214);(393, 326);(370, 483);(347, 619);(347, 326);(370, 483);(415, 596);(325, 146);(325, 145);(392, 146);(347, 146);(0, 0)
