;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(617, 168);(617, 258);(572, 258);(527, 326);(527, 281);(662, 258);(707, 326);(729, 281);(595, 415);(595, 528);(595, 618);(640, 415);(640, 528);(639, 618);(617, 168);(618, 168);(595, 190);(640, 190);(0, 0)
1;(617, 168);(617, 258);(572, 258);(527, 326);(527, 281);(662, 258);(707, 326);(729, 281);(595, 415);(595, 528);(595, 618);(640, 415);(640, 528);(639, 618);(617, 168);(618, 168);(595, 190);(640, 190);(0, 0)
2;(617, 191);(617, 258);(572, 258);(527, 325);(505, 280);(662, 258);(729, 326);(729, 280);(595, 416);(595, 528);(617, 618);(662, 416);(640, 528);(639, 618);(617, 190);(639, 190);(595, 191);(640, 191);(0, 0)
3;(617, 190);(617, 258);(572, 258);(505, 303);(505, 258);(662, 258);(729, 303);(729, 258);(595, 416);(595, 528);(617, 618);(662, 416);(640, 528);(639, 618);(617, 168);(639, 169);(595, 191);(640, 191);(0, 0)
4;(617, 213);(617, 236);(572, 236);(527, 281);(505, 258);(662, 236);(729, 303);(729, 236);(595, 393);(595, 506);(595, 618);(662, 393);(640, 506);(639, 618);(617, 191);(639, 191);(595, 191);(639, 191);(0, 0)
5;(617, 191);(617, 213);(572, 213);(527, 281);(527, 236);(662, 213);(729, 281);(729, 236);(595, 371);(595, 505);(595, 596);(661, 371);(640, 505);(640, 618);(617, 169);(639, 168);(595, 168);(640, 168);(0, 0)
6;(617, 145);(617, 213);(573, 213);(549, 280);(527, 235);(662, 213);(707, 280);(729, 235);(595, 370);(595, 483);(595, 596);(640, 349);(640, 483);(640, 596);(617, 124);(639, 145);(595, 146);(640, 146);(0, 0)
7;(617, 145);(617, 213);(573, 213);(549, 280);(527, 235);(662, 213);(707, 280);(729, 235);(595, 370);(595, 483);(595, 596);(640, 349);(640, 483);(640, 596);(617, 124);(639, 145);(595, 146);(640, 146);(0, 0)
8;(617, 146);(617, 191);(594, 191);(549, 258);(527, 213);(662, 191);(707, 259);(707, 213);(595, 348);(595, 483);(595, 573);(661, 348);(640, 483);(640, 574);(617, 146);(639, 146);(617, 146);(640, 146);(0, 0)
9;(639, 123);(617, 191);(572, 191);(527, 236);(527, 191);(662, 191);(729, 258);(729, 191);(595, 348);(595, 461);(595, 573);(662, 348);(640, 461);(640, 573);(617, 123);(639, 123);(595, 124);(640, 145);(0, 0)
10;(617, 123);(617, 191);(572, 191);(505, 214);(527, 168);(662, 191);(730, 214);(729, 168);(595, 348);(595, 461);(595, 573);(662, 348);(640, 483);(639, 574);(617, 123);(639, 123);(617, 146);(640, 146);(0, 0)
11;(639, 146);(618, 191);(573, 191);(505, 191);(527, 123);(684, 191);(752, 191);(729, 146);(595, 349);(595, 461);(617, 573);(662, 349);(640, 483);(639, 573);(617, 124);(639, 145);(617, 146);(640, 168);(0, 0)
12;(639, 146);(639, 213);(594, 213);(505, 190);(527, 101);(662, 213);(752, 191);(729, 123);(595, 371);(595, 483);(617, 595);(662, 371);(640, 483);(639, 595);(617, 146);(640, 146);(617, 146);(662, 168);(0, 0)
13;(639, 146);(639, 213);(594, 213);(505, 190);(527, 101);(662, 213);(752, 191);(729, 123);(595, 371);(595, 483);(617, 595);(662, 371);(640, 483);(639, 595);(617, 146);(640, 146);(595, 168);(662, 168);(0, 0)
14;(639, 168);(639, 214);(594, 214);(527, 168);(505, 101);(684, 214);(729, 168);(729, 101);(595, 393);(595, 484);(617, 596);(640, 371);(640, 484);(639, 596);(617, 168);(639, 168);(595, 168);(662, 191);(0, 0)
15;(639, 169);(618, 236);(594, 236);(550, 169);(527, 101);(662, 236);(707, 168);(729, 100);(595, 393);(595, 506);(617, 596);(661, 393);(640, 506);(639, 596);(617, 168);(639, 168);(617, 191);(640, 213);(0, 0)
16;(639, 191);(618, 236);(594, 236);(550, 190);(527, 101);(662, 236);(707, 169);(729, 101);(595, 393);(595, 506);(617, 596);(662, 393);(640, 506);(639, 618);(617, 191);(639, 191);(617, 213);(640, 213);(0, 0)
17;(639, 191);(617, 236);(594, 236);(528, 191);(527, 123);(662, 236);(707, 190);(729, 101);(595, 393);(595, 506);(617, 596);(662, 393);(640, 506);(639, 618);(639, 169);(639, 169);(617, 191);(640, 236);(0, 0)
18;(639, 168);(639, 235);(594, 236);(527, 191);(527, 123);(662, 235);(729, 191);(729, 123);(595, 393);(595, 484);(617, 596);(662, 393);(640, 505);(639, 596);(617, 168);(639, 168);(595, 190);(662, 191);(0, 0)
19;(639, 168);(639, 235);(594, 236);(527, 191);(527, 123);(662, 235);(729, 191);(729, 123);(595, 393);(595, 484);(617, 596);(662, 393);(640, 484);(639, 596);(617, 168);(639, 168);(617, 169);(662, 191);(0, 0)
20;(639, 146);(639, 213);(594, 213);(505, 191);(527, 146);(684, 213);(752, 191);(729, 146);(595, 371);(595, 483);(617, 596);(662, 371);(640, 483);(639, 596);(617, 146);(639, 146);(595, 168);(640, 168);(0, 0)
21;(617, 146);(617, 191);(594, 213);(505, 213);(527, 168);(662, 191);(752, 213);(729, 146);(595, 349);(595, 461);(595, 574);(662, 349);(640, 483);(640, 595);(617, 145);(639, 145);(595, 146);(640, 146);(0, 0)
22;(639, 146);(617, 191);(594, 191);(505, 213);(527, 168);(662, 191);(751, 213);(729, 168);(595, 348);(595, 461);(617, 573);(662, 348);(640, 461);(640, 573);(617, 145);(639, 145);(617, 146);(640, 168);(0, 0)
23;(639, 124);(617, 191);(594, 191);(505, 213);(527, 168);(662, 191);(751, 213);(707, 168);(595, 348);(595, 461);(617, 573);(662, 348);(640, 461);(640, 573);(617, 123);(639, 123);(617, 146);(640, 146);(0, 0)
24;(639, 145);(618, 191);(594, 191);(505, 191);(527, 146);(662, 191);(752, 191);(729, 146);(595, 348);(595, 461);(617, 573);(662, 348);(640, 461);(640, 573);(617, 124);(639, 124);(617, 146);(640, 168);(0, 0)
25;(639, 145);(618, 191);(594, 191);(505, 191);(527, 146);(662, 191);(752, 191);(729, 146);(595, 348);(595, 461);(617, 573);(662, 348);(640, 461);(640, 573);(617, 124);(639, 145);(617, 146);(640, 168);(0, 0)
26;(618, 146);(639, 213);(594, 213);(505, 191);(527, 145);(684, 191);(751, 191);(707, 124);(595, 349);(617, 483);(617, 573);(662, 349);(640, 483);(640, 574);(617, 146);(639, 146);(595, 146);(640, 168);(0, 0)
27;(639, 146);(617, 213);(594, 213);(527, 191);(527, 123);(684, 213);(730, 169);(707, 123);(595, 371);(617, 483);(617, 595);(662, 371);(640, 483);(640, 595);(617, 146);(639, 146);(595, 168);(640, 169);(0, 0)
28;(639, 168);(617, 236);(594, 236);(549, 191);(527, 101);(662, 236);(729, 169);(707, 101);(595, 393);(617, 484);(617, 596);(662, 393);(640, 484);(640, 596);(617, 168);(639, 168);(617, 191);(640, 213);(0, 0)
29;(618, 191);(617, 236);(594, 236);(550, 191);(527, 123);(662, 258);(707, 169);(707, 123);(595, 394);(617, 506);(617, 596);(662, 394);(640, 506);(639, 596);(617, 191);(639, 191);(617, 213);(640, 191);(0, 0)
30;(639, 191);(617, 258);(594, 258);(550, 191);(527, 123);(662, 258);(707, 191);(707, 123);(595, 415);(595, 506);(617, 596);(662, 415);(640, 506);(639, 596);(617, 191);(639, 191);(617, 213);(640, 213);(0, 0)
31;(639, 191);(617, 258);(594, 258);(550, 191);(527, 123);(662, 258);(707, 191);(707, 123);(595, 415);(595, 506);(617, 596);(662, 415);(640, 506);(639, 596);(617, 191);(639, 191);(617, 213);(640, 213);(0, 0)
32;(639, 190);(617, 236);(594, 236);(528, 191);(549, 123);(662, 236);(729, 191);(707, 123);(595, 394);(595, 506);(617, 596);(662, 394);(640, 506);(639, 596);(617, 169);(639, 169);(595, 191);(662, 191);(0, 0)
33;(639, 168);(639, 236);(594, 236);(527, 191);(549, 145);(662, 236);(751, 191);(707, 145);(595, 393);(595, 483);(617, 596);(662, 371);(640, 484);(639, 596);(617, 168);(639, 168);(617, 169);(640, 169);(0, 0)
34;(639, 146);(639, 213);(594, 213);(505, 191);(550, 146);(684, 213);(752, 213);(707, 146);(595, 371);(595, 483);(617, 595);(662, 371);(640, 483);(640, 596);(617, 146);(639, 146);(617, 168);(640, 168);(0, 0)
35;(639, 146);(639, 213);(594, 213);(505, 213);(550, 146);(684, 213);(752, 213);(707, 168);(595, 349);(595, 461);(617, 573);(662, 349);(640, 483);(640, 574);(617, 145);(639, 145);(617, 146);(640, 146);(0, 0)
