;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(550, 191);(550, 258);(505, 258);(460, 303);(393, 348);(595, 258);(595, 304);(527, 303);(505, 394);(504, 483);(527, 595);(572, 415);(550, 528);(528, 596);(549, 168);(572, 169);(527, 191);(572, 191);(0, 0)
1;(527, 169);(527, 236);(483, 236);(438, 303);(370, 325);(573, 236);(594, 303);(505, 281);(483, 393);(460, 483);(482, 595);(550, 393);(550, 528);(527, 618);(527, 168);(549, 168);(505, 190);(572, 169);(0, 0)
2;(527, 168);(505, 236);(460, 236);(415, 281);(347, 281);(572, 236);(572, 281);(505, 258);(482, 371);(437, 461);(437, 595);(528, 393);(549, 505);(527, 618);(505, 168);(527, 168);(483, 168);(549, 168);(0, 0)
3;(527, 168);(505, 236);(460, 236);(415, 281);(347, 281);(572, 236);(572, 281);(505, 258);(482, 371);(437, 461);(437, 595);(528, 393);(549, 506);(527, 618);(505, 168);(527, 168);(483, 168);(549, 168);(0, 0)
4;(505, 168);(504, 214);(460, 214);(393, 281);(325, 259);(549, 214);(572, 258);(505, 235);(460, 371);(415, 461);(393, 574);(527, 371);(527, 484);(527, 618);(483, 146);(505, 146);(482, 168);(527, 168);(0, 0)
5;(482, 168);(482, 214);(437, 235);(392, 281);(303, 258);(527, 214);(550, 258);(504, 213);(437, 371);(392, 483);(370, 595);(504, 371);(505, 483);(527, 618);(460, 146);(483, 146);(460, 168);(505, 168);(0, 0)
6;(460, 168);(460, 214);(415, 235);(348, 280);(281, 236);(505, 214);(549, 258);(505, 191);(415, 371);(370, 483);(325, 596);(482, 371);(505, 484);(527, 618);(438, 146);(460, 146);(437, 168);(482, 168);(0, 0)
7;(437, 168);(438, 235);(393, 236);(325, 280);(280, 214);(482, 214);(527, 258);(505, 191);(393, 393);(347, 484);(303, 596);(460, 393);(483, 484);(527, 618);(437, 168);(438, 168);(415, 168);(460, 168);(0, 0)
8;(415, 190);(415, 236);(370, 258);(303, 281);(280, 213);(460, 236);(527, 258);(504, 191);(370, 393);(325, 506);(280, 618);(437, 394);(482, 506);(527, 618);(415, 168);(437, 168);(393, 190);(438, 190);(0, 0)
9;(415, 190);(415, 236);(370, 258);(303, 281);(280, 213);(460, 236);(527, 258);(504, 191);(370, 393);(325, 506);(280, 618);(437, 394);(482, 506);(527, 618);(415, 168);(437, 168);(393, 190);(438, 190);(0, 0)
10;(393, 191);(393, 258);(348, 258);(280, 281);(258, 213);(438, 258);(505, 259);(504, 213);(348, 415);(303, 528);(280, 618);(415, 416);(460, 506);(505, 618);(392, 191);(415, 191);(370, 191);(437, 191);(0, 0)
11;(392, 191);(371, 259);(326, 259);(258, 281);(258, 213);(415, 259);(505, 281);(483, 213);(325, 416);(302, 528);(280, 640);(393, 416);(460, 506);(505, 618);(370, 191);(393, 191);(370, 213);(415, 213);(0, 0)
