;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
598;(729, 101);(684, 169);(639, 169);(618, 281);(729, 325);(729, 190);(797, 191);(864, 168);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
599;(729, 101);(684, 169);(639, 168);(617, 281);(729, 325);(729, 190);(797, 191);(864, 168);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
600;(729, 101);(684, 169);(639, 168);(617, 281);(729, 326);(729, 169);(797, 191);(864, 168);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
601;(729, 101);(684, 169);(639, 168);(617, 281);(707, 325);(729, 190);(797, 191);(864, 168);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
602;(729, 101);(684, 169);(639, 168);(617, 281);(707, 325);(729, 190);(797, 191);(864, 168);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
603;(729, 101);(684, 169);(639, 168);(617, 281);(707, 326);(729, 169);(797, 191);(864, 168);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
604;(729, 101);(684, 169);(639, 168);(617, 280);(707, 326);(729, 169);(797, 191);(864, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
605;(729, 101);(684, 169);(639, 168);(595, 280);(685, 326);(729, 169);(797, 191);(864, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(707, 101);(0, 0)
606;(729, 101);(684, 169);(639, 168);(595, 280);(684, 326);(729, 169);(797, 191);(864, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
607;(729, 101);(684, 169);(639, 168);(595, 280);(684, 326);(729, 169);(797, 191);(864, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(684, 191);(0, 0)
608;(729, 101);(684, 169);(639, 168);(595, 280);(684, 326);(729, 169);(819, 190);(864, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
609;(729, 101);(684, 169);(639, 168);(594, 280);(662, 326);(729, 169);(819, 190);(864, 146);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
610;(729, 101);(684, 169);(639, 168);(594, 280);(662, 326);(729, 169);(819, 190);(864, 146);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(617, 146);(0, 0)
611;(729, 101);(684, 169);(639, 168);(594, 280);(662, 326);(729, 169);(819, 169);(864, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 100);(729, 78);(684, 101);(684, 191);(0, 0)
612;(729, 101);(684, 169);(639, 168);(594, 280);(662, 326);(729, 169);(819, 169);(865, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
