;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
441;(1043, 124);(1043, 213);(976, 214);(931, 303);(932, 370);(1089, 213);(1133, 281);(1134, 326);(999, 393);(1021, 505);(999, 551);(1066, 371);(1111, 528);(1111, 641);(1021, 123);(1044, 123);(999, 146);(1066, 145);(0, 0)
442;(1021, 123);(1021, 191);(954, 213);(909, 281);(954, 326);(1088, 191);(1133, 281);(1089, 303);(977, 371);(976, 483);(977, 550);(1066, 371);(1089, 506);(1111, 641);(1021, 101);(1043, 101);(999, 123);(1044, 123);(0, 0)
443;(1021, 123);(1021, 191);(954, 213);(909, 281);(954, 326);(1088, 191);(1133, 281);(1089, 303);(977, 371);(976, 483);(977, 550);(1044, 371);(1089, 506);(1111, 641);(1021, 101);(1043, 101);(999, 123);(1044, 123);(0, 0)
444;(999, 101);(999, 191);(954, 191);(887, 281);(954, 303);(1066, 191);(1133, 281);(1088, 259);(954, 370);(954, 483);(954, 551);(1044, 370);(1088, 506);(1111, 641);(999, 101);(1021, 101);(976, 123);(1043, 101);(0, 0)
445;(998, 101);(999, 191);(931, 191);(886, 280);(954, 280);(1066, 169);(1111, 258);(1066, 236);(954, 370);(909, 461);(931, 573);(1022, 349);(1066, 483);(1089, 640);(976, 101);(999, 101);(954, 123);(1021, 101);(0, 0)
446;(976, 101);(976, 191);(931, 191);(886, 259);(954, 258);(1044, 190);(1089, 258);(1044, 235);(932, 370);(887, 461);(887, 596);(1021, 370);(1066, 484);(1066, 619);(954, 101);(977, 101);(953, 123);(999, 101);(0, 0)
447;(954, 123);(954, 191);(909, 191);(864, 280);(931, 236);(1021, 191);(1066, 258);(1021, 235);(931, 371);(864, 483);(842, 618);(999, 371);(1044, 505);(1044, 619);(953, 101);(976, 101);(931, 123);(998, 123);(0, 0)
448;(932, 123);(954, 213);(887, 213);(864, 281);(909, 236);(999, 191);(1044, 258);(998, 235);(909, 371);(842, 506);(819, 640);(998, 371);(1043, 528);(1022, 641);(931, 123);(954, 123);(909, 146);(976, 124);(0, 0)
449;(932, 123);(954, 191);(887, 213);(864, 281);(909, 236);(999, 191);(1044, 258);(998, 235);(909, 371);(842, 506);(819, 640);(998, 371);(1043, 528);(1022, 641);(931, 123);(953, 123);(909, 146);(976, 123);(0, 0)
450;(909, 146);(931, 213);(864, 235);(864, 281);(909, 236);(977, 213);(1021, 258);(976, 236);(887, 393);(842, 528);(775, 641);(976, 393);(1021, 528);(1021, 641);(909, 145);(931, 124);(887, 146);(954, 146);(0, 0)
451;(887, 168);(909, 235);(842, 236);(841, 281);(864, 258);(954, 213);(999, 259);(932, 236);(886, 415);(819, 528);(774, 663);(954, 415);(999, 529);(1021, 663);(886, 146);(909, 146);(864, 168);(931, 168);(0, 0)
452;(864, 168);(886, 236);(819, 236);(797, 303);(842, 280);(932, 235);(976, 281);(909, 258);(842, 416);(797, 528);(752, 663);(931, 415);(977, 528);(1021, 641);(864, 146);(886, 146);(842, 168);(909, 168);(0, 0)
453;(842, 146);(864, 235);(797, 236);(774, 303);(819, 281);(909, 235);(954, 303);(887, 280);(819, 415);(774, 528);(751, 685);(887, 394);(954, 528);(1021, 641);(841, 146);(864, 145);(819, 168);(886, 146);(0, 0)
454;(819, 146);(820, 214);(774, 214);(730, 303);(774, 303);(887, 214);(931, 303);(864, 281);(797, 394);(752, 528);(751, 685);(864, 393);(931, 528);(998, 641);(819, 123);(841, 123);(797, 146);(864, 146);(0, 0)
455;(819, 146);(820, 214);(774, 214);(730, 303);(774, 303);(887, 214);(931, 303);(864, 281);(797, 394);(752, 528);(751, 685);(864, 393);(931, 528);(998, 641);(819, 123);(841, 123);(797, 146);(864, 146);(0, 0)
456;(797, 124);(797, 213);(751, 214);(707, 303);(730, 326);(864, 213);(909, 304);(864, 326);(774, 393);(730, 528);(751, 685);(842, 393);(887, 506);(931, 641);(774, 123);(797, 123);(774, 146);(820, 145);(0, 0)
457;(774, 123);(774, 213);(707, 213);(685, 303);(707, 348);(842, 213);(886, 303);(842, 348);(751, 393);(729, 528);(730, 664);(819, 393);(864, 506);(864, 640);(752, 123);(774, 123);(751, 145);(797, 124);(0, 0)
458;(752, 123);(752, 213);(685, 213);(662, 303);(684, 371);(819, 213);(842, 303);(842, 371);(729, 393);(707, 528);(729, 663);(797, 393);(819, 506);(797, 619);(730, 101);(752, 123);(729, 123);(774, 124);(0, 0)
459;(729, 123);(729, 213);(662, 213);(662, 303);(640, 393);(797, 213);(819, 303);(819, 371);(707, 393);(707, 528);(729, 663);(774, 393);(774, 528);(752, 618);(707, 101);(730, 101);(707, 123);(752, 123);(0, 0)
