;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(685, 213);(684, 281);(639, 281);(595, 348);(617, 281);(729, 281);(774, 348);(774, 280);(640, 439);(572, 551);(527, 641);(707, 438);(797, 528);(841, 663);(684, 213);(707, 213);(662, 213);(707, 235);(0, 0)
1;(729, 213);(685, 281);(640, 281);(639, 348);(662, 281);(751, 281);(819, 326);(819, 258);(640, 438);(572, 551);(527, 641);(707, 438);(819, 528);(841, 663);(707, 213);(729, 191);(684, 213);(707, 213);(0, 0)
2;(752, 213);(707, 281);(662, 281);(684, 326);(707, 280);(752, 280);(841, 326);(842, 258);(662, 438);(572, 550);(505, 619);(729, 438);(819, 528);(841, 663);(730, 191);(752, 191);(707, 213);(751, 191);(0, 0)
3;(774, 191);(729, 259);(685, 259);(729, 326);(774, 258);(774, 259);(842, 304);(842, 258);(662, 438);(594, 528);(505, 618);(729, 438);(819, 528);(841, 663);(752, 191);(774, 191);(729, 191);(752, 191);(0, 0)
4;(796, 191);(751, 258);(707, 258);(774, 303);(819, 258);(774, 258);(841, 303);(841, 258);(684, 416);(595, 528);(505, 596);(730, 416);(819, 506);(841, 663);(774, 190);(797, 169);(751, 191);(752, 191);(0, 0)
5;(796, 191);(751, 258);(707, 258);(774, 303);(819, 258);(774, 258);(841, 303);(842, 236);(684, 416);(595, 528);(505, 596);(730, 416);(819, 506);(841, 663);(774, 190);(797, 169);(751, 191);(752, 191);(0, 0)
6;(797, 191);(752, 258);(751, 258);(820, 303);(842, 258);(774, 258);(819, 303);(841, 258);(685, 416);(617, 528);(505, 595);(730, 416);(819, 506);(841, 663);(796, 169);(797, 169);(752, 191);(774, 191);(0, 0)
7;(819, 191);(752, 258);(752, 258);(864, 304);(864, 258);(752, 236);(774, 326);(864, 236);(707, 415);(617, 506);(505, 574);(751, 416);(819, 506);(841, 663);(797, 169);(797, 191);(774, 191);(796, 191);(0, 0)
8;(819, 191);(774, 258);(797, 258);(886, 325);(864, 258);(729, 258);(752, 326);(864, 258);(729, 416);(617, 506);(841, 663);(707, 416);(820, 506);(505, 595);(797, 190);(819, 169);(774, 191);(797, 191);(0, 0)
9;(819, 191);(774, 258);(797, 259);(886, 326);(864, 258);(729, 258);(730, 370);(864, 258);(730, 416);(617, 528);(841, 663);(707, 416);(639, 528);(527, 596);(819, 191);(819, 191);(775, 191);(729, 191);(0, 0)
10;(820, 191);(774, 259);(819, 280);(886, 326);(864, 258);(729, 280);(751, 371);(864, 259);(729, 438);(639, 528);(549, 618);(774, 438);(842, 506);(841, 641);(819, 191);(819, 191);(775, 191);(729, 191);(0, 0)
11;(820, 191);(774, 259);(819, 280);(886, 326);(864, 258);(729, 280);(730, 370);(864, 259);(729, 438);(639, 528);(549, 618);(774, 438);(842, 506);(841, 641);(819, 191);(819, 191);(775, 191);(729, 191);(0, 0)
12;(841, 213);(774, 280);(819, 280);(886, 326);(864, 258);(729, 280);(729, 348);(864, 280);(730, 438);(640, 550);(549, 618);(774, 438);(842, 506);(841, 663);(819, 191);(819, 213);(797, 213);(752, 213);(0, 0)
13;(841, 213);(774, 281);(819, 281);(886, 348);(864, 259);(729, 281);(730, 348);(864, 280);(729, 438);(640, 550);(550, 618);(774, 438);(842, 506);(841, 663);(819, 191);(819, 213);(797, 213);(752, 213);(0, 0)
14;(841, 213);(774, 280);(819, 280);(886, 326);(886, 259);(730, 259);(752, 371);(864, 280);(729, 416);(640, 528);(549, 618);(774, 438);(842, 506);(841, 663);(819, 191);(819, 213);(797, 213);(752, 213);(0, 0)
15;(841, 191);(774, 258);(797, 259);(886, 326);(886, 258);(752, 258);(864, 326);(864, 280);(729, 416);(640, 528);(549, 596);(752, 438);(841, 528);(841, 641);(819, 191);(819, 191);(796, 191);(797, 663);(0, 0)
16;(820, 191);(774, 258);(775, 258);(864, 325);(886, 258);(752, 236);(864, 326);(864, 258);(707, 416);(617, 528);(527, 596);(752, 416);(819, 528);(841, 641);(819, 190);(819, 191);(796, 191);(797, 191);(0, 0)
17;(820, 191);(774, 258);(775, 258);(864, 325);(886, 258);(752, 236);(864, 326);(864, 258);(707, 416);(617, 528);(527, 596);(752, 416);(819, 528);(841, 641);(819, 190);(819, 191);(796, 191);(797, 191);(0, 0)
18;(819, 191);(774, 258);(774, 258);(842, 304);(864, 258);(774, 258);(842, 304);(842, 258);(685, 415);(617, 506);(527, 596);(751, 415);(797, 528);(841, 663);(819, 169);(819, 191);(775, 191);(774, 258);(0, 0)
19;(819, 191);(774, 258);(751, 236);(819, 303);(864, 236);(775, 258);(819, 303);(842, 236);(684, 394);(617, 506);(527, 596);(730, 415);(797, 528);(820, 663);(797, 169);(819, 168);(774, 191);(797, 169);(0, 0)
20;(797, 191);(752, 258);(729, 236);(774, 303);(819, 236);(797, 258);(842, 304);(864, 258);(662, 415);(595, 506);(527, 618);(729, 415);(797, 528);(820, 663);(796, 169);(797, 168);(752, 191);(797, 168);(0, 0)
21;(774, 191);(730, 258);(707, 258);(730, 303);(775, 236);(775, 258);(842, 304);(864, 258);(662, 416);(595, 528);(527, 618);(729, 416);(797, 528);(820, 663);(774, 169);(775, 169);(729, 191);(774, 190);(0, 0)
22;(752, 191);(729, 259);(684, 258);(707, 325);(730, 258);(774, 280);(842, 326);(842, 258);(662, 416);(572, 528);(527, 640);(729, 416);(797, 528);(820, 663);(730, 191);(752, 191);(707, 191);(774, 213);(0, 0)
23;(752, 191);(729, 259);(684, 258);(707, 325);(730, 258);(774, 280);(842, 326);(842, 258);(662, 416);(572, 528);(527, 640);(729, 416);(797, 528);(820, 663);(730, 191);(752, 191);(707, 191);(774, 191);(0, 0)
24;(729, 213);(707, 280);(662, 259);(662, 326);(707, 258);(752, 281);(841, 326);(841, 258);(640, 438);(572, 528);(527, 641);(729, 438);(797, 528);(841, 663);(707, 191);(729, 191);(685, 213);(751, 213);(0, 0)
25;(707, 213);(707, 281);(662, 281);(617, 326);(662, 258);(752, 281);(819, 348);(797, 259);(640, 438);(550, 528);(527, 641);(729, 438);(797, 528);(841, 663);(685, 213);(707, 213);(662, 213);(729, 213);(0, 0)
